Designator,Mid X,Mid Y,Layer,Rotation
C1,41.7200,-43.6250,Top,0.0000
C2,40.2200,-55.0250,Top,180.0000
C3,46.2200,-55.0250,Top,180.0000
C4,36.2200,-69.2250,Top,180.0000
C5,35.7200,-41.8250,Top,180.0000
C6,35.7200,-44.8250,Top,180.0000
C7,35.7200,-47.8250,Top,180.0000
C8,35.7200,-50.8250,Top,180.0000
C9,39.3200,-48.0600,Top,90.0000
C10,67.2200,-46.7250,Top,0.0000
C11,67.2200,-50.2250,Top,0.0000
C12,53.2200,-55.0250,Top,0.0000
C13,59.2200,-52.5750,Top,0.0000
C14,56.7200,-59.2250,Top,0.0000
C15,64.7200,-64.2250,Top,0.0000
D1,63.7200,-69.7250,Top,180.0000
D2,43.6200,-60.8250,Top,180.0000
F1,36.2200,-56.2250,Top,270.0000
L1,55.9200,-45.2250,Top,0.0000
Q1,37.2200,-62.7250,Top,0.0000
R1,42.7200,-63.7250,Top,0.0000
R2,41.7200,-57.4250,Top,0.0000
R3,44.7200,-57.4250,Top,0.0000
R4,39.3200,-51.1250,Top,90.0000
R5,43.2200,-55.0250,Top,180.0000
R6,49.2200,-52.4250,Top,180.0000
R7,48.7200,-57.2250,Top,0.0000
R8,59.7200,-69.7250,Top,0.0000
U1,44.3200,-48.6250,Top,270.0000
